Rating,Ingredient,Warning
Worst,Sodium Tallowate,Sodium salt of tallow.
Worst,Sodium Thioglycolate,"A synthetic ingredinet that functions as a reducing agent in cosmetics, most typically hair-removal lotions."
Worst,Spearmint Oil,"Fragrant, volatile oil that can cause skin sensitivity."
Worst,Star Anise,"Also known as aniseed, it can have antioxidant properties, but its fragrant components make this a potential skin sensitizer."
Worst,Styrax Benzoin,Fragrant ingredient with the potential to irritate skin.
Worst,Styrax Benzoin Resin Extract,Fragrant ingredient with the potential to irritate skin.
Worst,Sulfur,"Sulfur has more negatives than positives for skin, and its use to treat skin concerns should be seen as a last resort if other ingredients (such as benzoyl peroxide, azelaic acid, and salicylic acid) don't work as well as you had hoped."
Worst,Symphytum Officinale Extract,The alkaloid content of this extract means it has the potential to aggravate skin.
Worst,Szechuan Peppercorn,"From a plant native to Szechuan Province in China. Szechuan pepper is known for the ""numbing"" sensation it produces on the tongue."
Worst,Tallow,"Substance extracted from the fatty deposits of animals, often used to make candles and soap."
Worst,Tangerine Oil,"Fragrant, volatile citrus oil that can be a skin sensitizer."
Worst,TEA-Lauryl Sulfate,"Cleansing agent that's potentially drying, particularly when it's the primary cleansing ingredient where the concentration is likely to exceed 10.5%."
Worst,Thyme Oil,"Source of potent antioxidants, but its fragrant components (which are part of the oil itself) pose a risk of sensitivity."
Worst,Thymus Vulgaris Oil,"More commonly known as thyme oil. Like most fragrant plant oils, thyme is a source of potent antioxidants but its fragrant components (which are part of the oil itself) pose a risk of sensitivity."
Worst,Tormentil Extract,"Plant that can be irritating due to its tannin content, which causes skin constriction."
Worst,UVA,Ultraviolet A radiation comes from the sun and creates serious negative cumulative changes in skin.
Worst,UVB,Ultraviolet B radiation.
Worst,Verbena Extract,Fragrant extract that can be a skin sensitizer.
Worst,Verbena Officinalis Leaf Extract,Fragrant extract that can be a skin sensitizer.
Worst,Vetiver Oil or Extract,Fragrant component in skincare products that also has some beneficial properties.
Worst,Volatile Oil,Group of volatile fluids derived primarily from plants and used in cosmetics primarily as fragrant.
Worst,White Oak Bark Extract,Potentially irritating plant extract.
Worst,Wild Ginger,"Plant that has antioxidant capabilities for skin, but whose oil can be a skin irritant."
Worst,Witch Hazel,Plant extract that can deliver antioxidant properties but is also sensitizing if used repeatedly because it denatures proteins that help keep skin healthy.
Worst,Xi Xin,"Best known as ginger, this plant can have soothing an antioxidant activity, but its oil form can be sensitizing."
Worst,Ylang Ylang,"Fragrant, volatile oil that can be a skin sensitizer."
Worst,Zanthoxylum Bungeanum Fruit Oil,"From a plant native to Szechuan Province in China. Known for the ""numbing"" sensation it produces."
Worst,Zanthoxylum Piperitum,"A plant native to Szechuan Province in China. The Szechuan pepper that comes from it is known for the ""numbing"" sensation it produces on the tongue."
Worst,Zanthoxylum Piperitum Fruit Extract,"From a plant native to Szechuan Province in China. Szechuan pepper is known for the ""numbing"" sensation it produces on the tongue."
Worst,Zinc Carbonate,Can be sensitizing when applied to skin. Most well known for use in calamine.
Worst,Zinc Sulfate,Chemical compound resulting from the interaction of zinc with sulfuric acid.
Worst,Zingiberaceae,"Best known as ginger, this plant can have soothing an antioxidant activity, but its oil form can be sensitizing."
Worst,Zingiber Zerumbet,"A type of ginger, it can have antioxidant properties for skin, but its oil is a skin irritant."
Worst,Zingiber Zerumbet Extract,"Extract from a type of ginger, it can have antioxidant properties for skin, but its oil is a skin irritant."
